Volume,TransX_mm,TransY_mm,TransZ_mm,RotPitch_deg,RotRoll_deg,RotYaw_deg,FD_mm
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-1.273900,1.576283,-1.625983,3.607571,-0.421279,-1.875430,9.628620
3,-1.257422,1.796528,-0.513839,3.591634,-0.297620,-1.836021,1.505077
4,-1.227967,1.718451,-0.883239,3.569978,-0.311478,-1.820089,0.521827
5,-1.231478,1.722600,-0.613560,3.572589,-0.291691,-1.817594,0.299062
6,-1.251848,1.694347,-0.792899,3.541071,-0.336307,-1.790513,0.318034
7,-1.270557,1.720588,-0.652321,3.571735,-0.317501,-1.785621,0.232968
8,-1.285520,1.679029,-0.773469,3.542635,-0.348707,-1.781249,0.234113
9,-1.307645,1.714355,-0.674726,3.576879,-0.354585,-1.779902,0.192383
10,-1.315301,1.676491,-0.771189,3.547992,-0.366092,-1.787007,0.183434
11,-1.309271,1.675853,-0.703141,3.562393,-0.353670,-1.797197,0.107016
12,-1.311128,1.676689,-0.761685,3.528691,-0.370148,-1.788650,0.112487
13,-1.300157,1.753906,-0.758365,3.585136,-0.340550,-1.771899,0.181212
14,-1.254792,1.627701,-0.745056,3.535193,-0.318447,-1.760324,0.257853
15,-1.234470,1.693152,-0.674913,3.556792,-0.291919,-1.746873,0.209651
16,-1.220993,1.693759,-0.693603,3.596808,-0.280526,-1.740445,0.083245
17,-1.245977,1.688134,-0.699113,3.581723,-0.280944,-1.729375,0.059309
18,-1.263453,1.726315,-0.706471,3.603235,-0.302814,-1.732195,0.103335
19,-1.292769,1.774398,-0.753661,3.621917,-0.314061,-1.742026,0.159284
20,-1.301974,1.779705,-0.793180,3.658878,-0.314351,-1.741222,0.087242
21,-1.339875,1.819951,-0.813758,3.706312,-0.345344,-1.746041,0.171370
22,-1.306425,1.799898,-0.799225,3.710211,-0.319379,-1.743441,0.096364
23,-1.286227,1.752878,-0.683171,3.620204,-0.306890,-1.759706,0.286913
24,-1.087217,1.280269,-0.582636,3.504537,-0.099905,-1.767661,1.060662
25,-0.924032,1.125723,-0.472568,3.328965,0.097580,-1.805976,0.786789
26,-0.917484,1.638308,-0.659496,3.492483,0.006373,-1.676856,1.041028
27,-0.793483,1.638448,-0.578828,3.528808,0.088046,-1.626298,0.351902
28,-0.847952,1.756917,-0.666937,3.549225,0.022438,-1.627762,0.337394
29,-0.866567,1.863334,-0.669826,3.507762,-0.091704,-1.558039,0.324556
30,-0.878299,1.870601,-0.744711,3.471292,-0.117165,-1.498053,0.200277
31,-0.888636,1.895230,-0.764538,3.521110,-0.136663,-1.512084,0.127529
32,-1.005457,1.818018,-0.819477,3.493496,-0.169069,-1.599444,0.377585
33,-1.016259,1.793401,-0.860318,3.464337,-0.188603,-1.620416,0.137054
34,-1.057931,1.773248,-0.682542,3.430029,-0.192437,-1.686415,0.330480
35,-0.866409,1.362071,-0.339664,3.072867,0.031675,-1.677361,1.460736
36,-0.823247,1.260779,-0.353825,2.870428,0.064967,-1.602547,0.429616
37,-0.893881,1.545056,-0.438975,3.097955,-0.020001,-1.585432,0.727700
38,-0.876762,1.441466,-0.399697,3.111079,-0.024003,-1.574408,0.184553
39,-0.873305,1.487162,-0.362066,3.080424,-0.006649,-1.568319,0.133993
40,-0.857115,1.518327,-0.397420,3.141588,0.004016,-1.548643,0.162561
41,-0.880713,1.525817,-0.318038,3.178751,-0.021593,-1.549586,0.166072
42,-0.893043,1.504135,-0.384652,3.173363,-0.009285,-1.539725,0.124675
43,-0.886490,1.509695,-0.350576,3.156165,0.004237,-1.521759,0.088675
44,-0.897147,1.523305,-0.371165,3.154001,-0.004155,-1.496887,0.075773
45,-0.891705,1.534917,-0.345545,3.146501,-0.001317,-1.484578,0.062437
46,-0.914108,1.572863,-0.361649,3.166506,-0.028196,-1.485333,0.118025
47,-0.898542,1.555419,-0.311715,3.195391,-0.002883,-1.483634,0.131724
48,-0.878270,1.480814,-0.320650,3.158452,0.025175,-1.472260,0.170459
49,-0.844593,1.450042,-0.284501,3.116892,0.061356,-1.469868,0.170528
50,-0.849411,1.417919,-0.292789,3.073336,0.054865,-1.463572,0.094396
51,-0.862388,1.448751,-0.269947,3.080608,0.049103,-1.459338,0.081720
52,-0.872725,1.451375,-0.255311,3.103972,0.036329,-1.470299,0.068699
53,-0.914395,1.449750,-0.256040,3.075766,0.042798,-1.482997,0.085365
54,-0.953964,1.526011,-0.316600,3.155721,-0.004225,-1.462215,0.305334
55,-0.964722,1.591634,-0.445718,3.262188,-0.012079,-1.449345,0.316494
56,-0.956117,1.652351,-0.552807,3.341699,-0.006370,-1.437759,0.260889
57,-1.038313,1.698456,-0.650212,3.421739,-0.058825,-1.484228,0.381882
58,-1.023451,1.715206,-0.761716,3.482959,-0.070095,-1.468193,0.220370
59,-1.061197,1.689735,-0.662288,3.416873,-0.067182,-1.559873,0.302864
60,-1.127995,1.750290,-0.822828,3.492167,-0.116422,-1.585018,0.418513
61,-1.082167,1.669644,-0.735799,3.530504,-0.061048,-1.561611,0.315707
62,-1.057818,1.617923,-0.776183,3.496904,-0.065294,-1.524221,0.182109
63,-0.911103,1.132326,-0.488960,3.293195,0.050784,-1.567040,1.235967
64,-0.723775,1.080189,-0.406806,3.133220,0.218104,-1.601482,0.637294
65,-0.838134,1.744608,-0.603887,3.265863,0.071794,-1.564997,1.251130
66,-0.807594,1.916182,-0.602817,3.301907,0.098320,-1.536574,0.282591
67,-0.809116,1.902082,-0.656617,3.269266,0.081385,-1.522095,0.125321
68,-0.807142,1.936434,-0.675124,3.267343,0.075184,-1.506506,0.075527
69,-0.842167,1.943699,-0.721162,3.296286,0.034524,-1.505943,0.149560
70,-0.836955,1.896468,-0.644053,3.254418,0.023670,-1.509968,0.179075
71,-0.800259,1.805484,-0.531712,3.140893,0.019290,-1.525048,0.356071
72,-0.807217,1.789228,-0.554831,3.196957,0.011602,-1.519211,0.107061
73,-0.750132,1.809721,-0.561969,3.223915,0.063733,-1.466758,0.199508
74,-0.747967,1.849876,-0.632839,3.283546,0.079154,-1.479777,0.190046
75,-0.698427,1.741828,-0.582564,3.263133,0.116771,-1.413756,0.316119
76,-0.700362,1.701373,-0.585159,3.176294,0.116608,-1.413383,0.121233
77,-0.709001,1.724849,-0.556367,3.190215,0.101082,-1.397702,0.100288
78,-0.723765,1.771931,-0.567170,3.228048,0.098759,-1.381518,0.121816
79,-0.730465,1.776104,-0.554433,3.217558,0.100093,-1.364753,0.048557
80,-0.738427,1.795776,-0.544461,3.228223,0.103055,-1.356255,0.056914
81,-0.725969,1.777524,-0.514240,3.222212,0.118023,-1.338290,0.094917
82,-0.714224,1.772298,-0.506428,3.214134,0.129761,-1.347587,0.050189
83,-0.697804,1.701774,-0.474004,3.163990,0.137789,-1.351226,0.173308
84,-0.713956,1.713332,-0.471951,3.191800,0.113500,-1.365510,0.087693
85,-0.709392,1.743043,-0.434511,3.207214,0.121157,-1.335930,0.117663
86,-0.698331,1.753692,-0.437630,3.193592,0.136630,-1.317507,0.066297
87,-0.711250,1.767091,-0.398365,3.187983,0.131092,-1.322595,0.079751
88,-0.694727,1.684977,-0.388605,3.135908,0.152087,-1.322176,0.172529
89,-0.747475,1.686766,-0.345999,3.113328,0.132842,-1.339849,0.149064
90,-0.768421,1.744452,-0.364517,3.141458,0.121824,-1.340240,0.131655
91,-0.798870,1.778673,-0.404215,3.146493,0.103316,-1.349844,0.133294
92,-0.768682,1.781619,-0.433129,3.189092,0.112696,-1.332061,0.122926
93,-0.743690,1.794820,-0.443289,3.212915,0.120499,-1.316057,0.089919
94,-0.679211,1.742317,-0.435012,3.201671,0.177426,-1.278044,0.217922
95,-0.547072,1.690043,-0.417288,3.102336,0.295977,-1.195034,0.464719
96,-0.535368,1.714437,-0.437240,3.111097,0.279933,-1.214858,0.094997
97,-0.525167,1.799453,-0.430372,3.162003,0.252053,-1.175766,0.204953
98,-0.561633,1.766311,-0.477050,3.228771,0.267599,-1.224636,0.230765
99,-0.571643,1.708135,-0.503625,3.198772,0.253247,-1.230132,0.138260
100,-0.614135,1.844327,-0.544920,3.278139,0.197266,-1.200963,0.363546
101,-0.645263,1.876353,-0.535461,3.251154,0.154822,-1.222286,0.151809
102,-0.641712,1.893176,-0.549528,3.286841,0.168020,-1.233725,0.087084
103,-0.676671,1.896060,-0.533192,3.282573,0.126267,-1.238368,0.098390
104,-0.668723,1.798434,-0.557163,3.287147,0.164982,-1.269974,0.194902
105,-0.735992,1.872872,-0.587955,3.226977,0.095938,-1.279694,0.293742
106,-0.703436,1.826745,-0.480264,3.314254,0.152234,-1.309898,0.338022
107,-0.327622,0.440233,0.059959,2.601269,0.443185,-1.252334,3.228881
108,-0.455152,1.172043,-0.065609,2.628131,0.350962,-1.191662,1.141774
109,-0.385938,1.486569,-0.244633,2.784270,0.395999,-1.172944,0.754659
110,-0.309198,1.448058,-0.222994,2.702054,0.438922,-1.122912,0.289754
111,-0.280346,1.477548,-0.282451,2.749088,0.460048,-1.086588,0.208979
112,-0.298276,1.460839,-0.291394,2.732348,0.436027,-1.079992,0.084909
113,-0.317273,1.415470,-0.320827,2.726965,0.417847,-1.090604,0.123621
114,-0.338804,1.434714,-0.368536,2.717083,0.406679,-1.102226,0.116997
115,-0.320399,1.384141,-0.398050,2.706032,0.409400,-1.094920,0.116885
116,-0.343185,1.438834,-0.409824,2.710822,0.394829,-1.072703,0.125536
117,-0.341053,1.432025,-0.451240,2.741228,0.395886,-1.091674,0.094368
118,-0.337000,1.406882,-0.440596,2.694810,0.392514,-1.124903,0.112287
119,-0.293854,1.412429,-0.441716,2.696677,0.407641,-1.100600,0.085849
120,-0.299330,1.436919,-0.425632,2.685639,0.391229,-1.099170,0.071253
121,-0.280490,1.391834,-0.429155,2.678452,0.403685,-1.101160,0.086328
122,-0.248933,1.292750,-0.392726,2.598956,0.413096,-1.091682,0.252926
123,-0.237118,1.309047,-0.388750,2.612021,0.420731,-1.100277,0.057654
124,-0.263772,1.362576,-0.418254,2.654536,0.428092,-1.106590,0.158722
125,-0.282025,1.396627,-0.422223,2.680946,0.415810,-1.099865,0.095907
126,-0.305109,1.424228,-0.430073,2.694565,0.415274,-1.107378,0.077444
127,-0.346490,1.478669,-0.477002,2.769662,0.393143,-1.108508,0.228586
128,-0.325829,1.494805,-0.491825,2.792292,0.421920,-1.091881,0.110991
129,-0.329587,1.556970,-0.587485,2.900542,0.434502,-1.080049,0.277355
130,-0.362984,1.609492,-0.611238,2.951787,0.424269,-1.096436,0.177622
131,-0.312545,1.540497,-0.604308,2.930017,0.447702,-1.100159,0.169061
132,-0.308744,1.519129,-0.597438,2.920760,0.440377,-1.108483,0.053773
133,-0.318071,1.523787,-0.599074,2.940691,0.423619,-1.106412,0.049446
134,-0.336713,1.526688,-0.583360,2.928771,0.422546,-1.124840,0.064678
135,-0.298740,1.598698,-0.634063,2.977856,0.452805,-1.087700,0.262338
136,-0.275933,1.624566,-0.629867,2.968700,0.442351,-1.072516,0.083235
137,-0.301649,1.561806,-0.616579,2.955612,0.408885,-1.063986,0.149835
138,-0.298942,1.554445,-0.597360,2.915866,0.402015,-1.100884,0.102166
139,-0.356164,1.548249,-0.626681,2.946958,0.419579,-1.145603,0.174222
140,-0.390483,1.589528,-0.666663,2.974630,0.423062,-1.142447,0.145522
141,-0.389916,1.559930,-0.659874,2.984547,0.427743,-1.125840,0.064186
142,-0.354994,1.509316,-0.638622,2.911965,0.432152,-1.128733,0.176499
143,-0.365500,1.626414,-0.621604,2.920899,0.444158,-1.122063,0.168716
144,-0.273381,1.428067,-0.546594,2.828546,0.474147,-1.097959,0.493274
145,-0.269261,1.415435,-0.496686,2.794123,0.455344,-1.090797,0.119358
146,-0.303686,1.457265,-0.523186,2.855347,0.437419,-1.092771,0.173549
147,-0.316619,1.468631,-0.524731,2.848595,0.433917,-1.080441,0.045551
148,-0.332509,1.480796,-0.534783,2.855832,0.426499,-1.099684,0.067690
149,-0.340496,1.435095,-0.528760,2.833593,0.425073,-1.095268,0.084217
150,-0.342179,1.445351,-0.518916,2.825619,0.421692,-1.094813,0.032088
151,-0.348091,1.462868,-0.514193,2.827579,0.417441,-1.093520,0.034701
152,-0.359872,1.471394,-0.499664,2.833050,0.419907,-1.072165,0.060399
153,-0.365605,1.466421,-0.500482,2.826513,0.416741,-1.058278,0.032110
154,-0.313302,1.421513,-0.465861,2.758402,0.438812,-1.030419,0.234842
155,-0.218915,1.258063,-0.410172,2.628431,0.504643,-0.979206,0.529088
156,-0.227465,1.067452,-0.283266,2.489390,0.457246,-0.982469,0.491611
157,-0.278645,1.249271,-0.290146,2.536569,0.431160,-1.014345,0.331631
158,-0.255808,1.279632,-0.305718,2.570859,0.447438,-1.009481,0.117143
159,-0.250347,1.206234,-0.271879,2.516073,0.466547,-0.981028,0.202015
160,-0.296406,1.309483,-0.290945,2.585772,0.438788,-1.015817,0.283783
161,-0.350700,1.345711,-0.269058,2.588827,0.421766,-1.030267,0.142539
162,-0.370883,1.384156,-0.321177,2.623158,0.413979,-1.043525,0.159072
163,-0.394963,1.513294,-0.388830,2.728910,0.404182,-1.026833,0.336271
164,-0.391599,1.471620,-0.459055,2.795047,0.420073,-1.030415,0.189971
165,-0.378810,1.447393,-0.441051,2.758265,0.418837,-1.030104,0.088469
166,-0.322546,1.481115,-0.482958,2.816146,0.446216,-0.999055,0.233394
167,-0.289994,1.536167,-0.536507,2.877719,0.470840,-1.014023,0.229436
168,-0.238621,1.455883,-0.512241,2.819556,0.496266,-0.979875,0.258667
169,-0.245919,1.485792,-0.543254,2.863354,0.504993,-0.976922,0.116634
170,-0.236834,1.508021,-0.542403,2.896856,0.505139,-0.973236,0.064746
171,-0.214529,1.441272,-0.513708,2.856554,0.511089,-0.961899,0.168006
172,-0.209785,1.464052,-0.518673,2.853111,0.500578,-0.953382,0.052100
173,-0.234624,1.484079,-0.536757,2.851560,0.482196,-0.951738,0.081779
174,-0.279190,1.488727,-0.523212,2.838056,0.462286,-1.006998,0.140143
175,-0.342432,1.510348,-0.522042,2.848830,0.453612,-1.042221,0.133741
176,-0.341817,1.529259,-0.527512,2.884125,0.447062,-1.025952,0.075711
177,-0.363387,1.518041,-0.515786,2.865461,0.444889,-1.017150,0.070380
178,-0.390117,1.475110,-0.513943,2.858018,0.453969,-1.068478,0.130715
179,-0.310224,1.288491,-0.441743,2.740020,0.447993,-1.049680,0.463305
180,-0.356281,1.482339,-0.457581,2.797499,0.444848,-1.070007,0.326385
181,-0.325765,1.417315,-0.445526,2.809846,0.454726,-1.073322,0.129882
182,-0.275242,1.392041,-0.402391,2.758902,0.493364,-1.040860,0.225435
183,-0.254419,1.372576,-0.394805,2.727475,0.501285,-1.014905,0.104862
184,-0.355274,1.451661,-0.452457,2.807287,0.463093,-1.041512,0.363789
